"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2309-NODE/8171441759","","Abita","35.487884","-5.135705","","","0","","","","0","",""
"2309-NODE/6899183595","","Borojo","35.54819","-5.423283","","","0","","","","0","",""
"2309-NODE/6907371690","","Ain Maloul","35.583708","-5.342419","","","0","","","","0","",""
"2309-NODE/8171441741","","Jamae","35.57701","-5.30724","","","0","","","","0","",""
"2309-NODE/7807273021","","Avenue Des Far","35.572284","-5.359748","","","0","","","","0","",""
"2309-NODE/8197552116","","El Amin","35.795902","-5.356402","","","0","","","","0","",""
"2309-NODE/6899183692","","Route De Torreta","35.557931","-5.40866","","","0","","","","0","",""
"2309-NODE/6899183691","","El Akba","35.503543","-5.436051","","","0","","","","0","",""
"2309-NODE/8197552115","","Al Mina","35.787471","-5.353586","","","0","","","","0","",""
"2309-NODE/8197552114","","Grand Hôtel","35.778058","-5.348592","","","0","","","","0","",""
"2309-NODE/8171402898","","Berraka","35.36773","-5.37359","","","0","","","","0","",""
"2309-NODE/8171402899","","Machachates","35.6123","-5.492454","","","0","","","","0","",""
"2309-NODE/8171402894","","Grankha","35.559759","-5.445002","","","0","","","","0","",""
"2309-NODE/8171402895","","Holiday","35.698959","-5.331394","","","0","","","","0","",""
"2309-NODE/8171402896","","Mkad","35.46346","-5.100193","","","0","","","","0","",""
"2309-NODE/8171402897","","Krouche","35.33866","-5.36364","","","0","","","","0","",""
"2309-NODE/8171402890","","Fabrique Rbahi","35.569583","-5.33076","","","0","","","","0","",""
"2309-NODE/8171402891","","El Marssa","35.682789","-5.320755","","","0","","","","0","",""
"2309-NODE/8171402892","","Coelma","35.565059","-5.34499","","","0","","","","0","",""
"2309-NODE/8171402893","","Halhala","35.3467","-5.36759","","","0","","","","0","",""
"2309-NODE/8171402912","","Kabila 2","35.726573","-5.340057","","","0","","","","0","",""
"2309-NODE/8197552111","","Marina Smir","35.749675","-5.346527","","","0","","","","0","",""
"2309-NODE/8197552110","","Studio","35.742135","-5.34399","","","0","","","","0","",""
"2309-NODE/8196996387","","Mandi","35.626048","-5.331464","","","0","","","","0","",""
"2309-NODE/8196996386","","Mallalienne","35.626427","-5.341327","","","0","","","","0","",""
